manufacturer,foundation,founder,location_city,industry,owner
Sirius Products,,sMartineRothblatt<br>DavidMargolese<br>RobertBriskman,,Radiobroadcasting,RMC-SiriusXMHoldingsLimited
Nyko Technologies,1996,,,,
Motorola,1928,sPaulGalvin(businessman)PaulandJosephGalvin,,"Telecommunications,CellularnetworkMobilephones",
Haier,1984,,Qingdao,HomeappliancesConsumerelectronics,
Samsung,,LeeByung-chul,,Conglomerate(company)Conglomerate,
Sony DSLR,2006,,,,
Onkyo,1946,,"Osaka,OsakaPrefectureOsaka",Electronics,Ohtsukifamily<refname4-traders>citeweburlhttps://www.marketscreener.com/ONKYO-CORPORATION-14116063/company/titleONKYOCORPORATION:ShareholdersBoardMembersManagersandCompanyProfilewebsiteMarketScreener</ref>(26.1%)<br>PioneerCorporation<refname4-traders/>(13.3%)
Boston Acoustics,1979,,,SoundreproductionAudio,
PIONEER ELECTRONICS USA,,NozomuMatsumoto,,Consumerelectronics,
SKULLCANDY INC,2003,sRickAldenandCrisWilliams,,SoundrecordingandreproductionAudio,
Maytag,1893,,,,
SMITH MICRO,1982,,"Pittsburgh,Pennsylvania,UnitedStates",Software,
SIMPLETECH,1990,,"SanJose,CaliforniaSanJose,California",Computerdatastorage,
